City,Country,Lat,Long,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
Bredasdorp,ZA,-34.5322,20.0403,61.41,52,81,8.75,1650652147
Nikolskoye,RU,59.7035,30.7861,51.69,72,100,3.96,1650652147
Arraial do Cabo,BR,-22.9661,-42.0278,82.26,65,0,9.22,1650652148
Portland,US,45.5234,-122.6762,59.38,71,20,4.0,1650651962
Aguazul,CO,5.1728,-72.5471,82.76,73,89,4.34,1650652148
Hobart,AU,-42.8794,147.3294,47.05,86,1,8.05,1650652114
Tiksi,RU,71.6872,128.8694,11.8,97,100,8.19,1650652149
Busselton,AU,-33.65,115.3333,58.89,70,0,15.03,1650652149
Rudnogorsk,RU,57.2639,103.7519,20.46,96,78,2.75,1650652149
Sumenep,ID,-7.0167,113.8667,80.49,82,100,5.41,1650652150
Zhigansk,RU,66.7697,123.3711,9.03,96,88,7.9,1650652150
Gallup,US,35.5281,-108.7426,69.64,16,0,26.46,1650652150
Lake City,US,30.1897,-82.6393,80.31,47,75,6.91,1650652039
Barrow,US,71.2906,-156.7887,-2.18,78,0,10.36,1650652139
Castro,BR,-24.7911,-50.0119,70.68,72,66,10.36,1650652151
North Bend,US,43.4065,-124.2243,58.91,83,0,8.05,1650651917
Byron Bay,AU,-28.65,153.6167,69.69,76,100,15.1,1650652118
Upernavik,GL,72.7868,-56.1549,12.79,83,100,6.33,1650652152
Lodwar,KE,3.1191,35.5973,90.16,38,95,7.9,1650652152
Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,6.91,1650652152
Grindavik,IS,63.8424,-22.4338,48.15,87,75,16.11,1650652153
Henties Bay,NA,-22.116,14.2845,63.32,83,4,8.79,1650652153
Chokurdakh,RU,70.6333,147.9167,1.24,98,100,5.79,1650652154
College,US,64.8569,-147.8028,39.15,56,40,3.44,1650652154
Rikitea,PF,-23.1203,-134.9692,75.69,77,99,10.18,1650652154
Hermanus,ZA,-34.4187,19.2345,58.8,58,92,11.79,1650652155
Eugene,US,44.0521,-123.0867,57.54,77,75,6.91,1650652025
Port Blair,IN,11.6667,92.75,82.44,83,20,2.3,1650652155
Ushuaia,AR,-54.8,-68.3,46.06,66,40,11.5,1650652156
Butaritari,KI,3.0707,172.7902,81.91,76,31,19.77,1650652156
Oro Valley,US,32.3909,-110.9665,82.33,23,0,8.01,1650652156
Mitsamiouli,KM,-11.3847,43.2844,81.0,82,100,21.3,1650652157
Ilulissat,GL,69.2167,-51.1,23.02,80,100,0.0,1650652157
Ostrovnoy,RU,68.0531,39.5131,29.82,93,100,13.62,1650652158
Aldergrove,CA,49.058,-122.4709,54.88,72,75,4.61,1650652158
Yangi Marg`ilon,UZ,40.4272,71.7189,63.32,45,35,9.22,1650652158
Kulotino,RU,58.45,33.3833,47.05,77,91,2.86,1650652159
Avarua,CK,-21.2078,-159.775,77.05,78,40,13.8,1650652159
General Roca,AR,-39.0333,-67.5833,69.62,39,60,26.04,1650652159
Dingle,PH,10.9995,122.6711,76.87,89,4,7.31,1650652160
Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,26,8.39,1650652160
Albany,US,42.6001,-73.9662,57.02,50,17,1.99,1650652098
Pisco,PE,-13.7,-76.2167,69.85,73,0,19.57,1650652160
New Norfolk,AU,-42.7826,147.0587,46.71,77,3,3.15,1650652161
Vaini,TO,-21.2,-175.2,68.16,100,20,4.61,1650652161
Bluff,NZ,-46.6,168.3333,47.8,74,91,25.12,1650652161
Strezhevoy,RU,60.7333,77.5889,15.04,86,100,8.37,1650652162
Beringovskiy,RU,63.05,179.3167,17.37,97,100,4.54,1650652162
Kapaa,US,22.0752,-159.319,78.78,89,100,12.66,1650652134
Salmo,CA,49.1999,-117.2689,50.49,95,95,2.19,1650652162
Krasnyy Oktyabr',RU,56.1167,38.8833,46.65,83,100,3.02,1650652163
Mount Gambier,AU,-37.8333,140.7667,46.31,81,22,4.61,1650652163
Moindou,NC,-21.6924,165.677,72.01,80,75,5.61,1650652163
Esperance,AU,-33.8667,121.9,55.24,86,9,8.19,1650652164
Cidreira,BR,-30.1811,-50.2056,74.21,65,46,10.11,1650652164
Jati,PK,24.3539,68.2671,82.53,56,0,12.33,1650652164
Hithadhoo,MV,-0.6,73.0833,84.96,72,100,10.98,1650652165
Tommot,RU,58.9564,126.2925,19.26,96,99,1.14,1650652165
Vachi,RU,42.072,47.2151,39.9,75,28,5.39,1650652165
Punta Arenas,CL,-53.15,-70.9167,48.31,61,75,14.97,1650652133
Chui,UY,-33.6971,-53.4616,56.21,94,100,3.71,1650652166
Atuona,PF,-9.8,-139.0333,79.61,69,57,13.27,1650652166
Qaanaaq,GL,77.484,-69.3632,6.22,65,100,1.21,1650652168
Flinders,AU,-34.5833,150.8552,61.18,92,100,5.99,1650652148
Saskylakh,RU,71.9167,114.0833,-0.62,99,97,5.01,1650652168
Chengde,CN,40.9725,117.9361,47.25,40,29,1.95,1650652168
Ipixuna,BR,-1.7625,-48.8043,78.4,93,85,4.85,1650652169
Mar del Plata,AR,-38.0023,-57.5575,62.62,72,75,19.57,1650652150
Praia da Vitória,PT,38.7333,-27.0667,61.05,63,75,14.83,1650652169
Kaitangata,NZ,-46.2817,169.8464,50.23,76,80,12.62,1650652170
Lebu,CL,-37.6167,-73.65,57.38,89,98,8.63,1650652170
Guerrero Negro,MX,27.9769,-114.0611,66.9,59,46,20.94,1650652170
Samarkand,UZ,39.6542,66.9597,63.82,59,31,4.61,1650652171
Saint Anthony,US,45.0205,-93.218,48.25,86,100,24.16,1650652171
Itaituba,BR,-4.2761,-55.9836,86.16,74,75,0.0,1650652171
